epoch,best,second best,third best,fourth best,fifth best
0,0.5958808794878931,0.588644586696354,0.5532980795992207,0.5443918730865572,0.5368772613414974
1,0.6554411355413303,0.6395769551906485,0.5513498469245756,0.5318675201781241,0.5307542443640412
2,0.6529362649596437,0.5808516559977734,0.57194544948511,0.5713888115780684,0.5652657946006123
3,0.653771221820206,0.6381853604230449,0.554133036459783,0.5455051489006402,0.5416086835513498
4,0.6532145839131644,0.5850264403005845,0.561369329251322,0.5555246312273866,0.5552463122738659
5,0.6635123851934317,0.6434734205399387,0.6256610075146117,0.5544113554133037,0.5368772613414974
6,0.7328138046200946,0.6827163929863623,0.5730587252991929,0.5716671305315892,0.5502365711104926
7,0.6473698858892291,0.6142499304202617,0.5961591984414139,0.5672140272752575,0.5563595880879488
8,0.7275257445032006,0.6587809629835791,0.6482048427497913,0.5944892847202895,0.557194544948511
9,0.698858892290565,0.6150848872808238,0.5644308377400501,0.5627609240189256,0.556081269134428
10,0.6559977734483718,0.6290008349568605,0.5413303645978291,0.538268856109101,0.5374338992485388
11,0.7364319510158642,0.7236292791539104,0.7044252713609797,0.6426384636793766,0.5744503200667965
12,0.6370720846089619,0.5805733370442527,0.5499582521569719,0.5496799332034512,0.548844976342889
13,0.6601725577511829,0.5694405789034234,0.5552463122738659,0.5521848037851378,0.5507932090175341
14,0.7308655719454494,0.6465349290286668,0.5911494572780406,0.5783467854160869,0.5474533815752852
15,0.8747564709156693,0.7676036738101865,0.7478430281102143,0.6546061786807682,0.6156415251878653
