epoch,best,second best,third best,fourth best,fifth best
0,0.9667528629479128,0.9412633912079793,0.9390469154045068,0.9253786479497599,0.9061691909863318
1,0.9268562984854082,0.8910232729959364,0.8862209087550794,0.8858514961211673,0.8854820834872552
2,0.9383080901366827,0.8976727004063539,0.8736608792020687,0.8721832286664204,0.8714444033985962
3,0.9482822312523088,0.9309198374584411,0.9239009974141116,0.8947173993350572,0.8906538603620244
4,0.9423716291097155,0.9290727742888807,0.9227927595123753,0.8998891762098263,0.8969338751385297
5,0.9360916143332102,0.8991503509420022,0.898411525674178,0.8921315108976727,0.8876985592907277
6,0.8862209087550794,0.8799408939785741,0.8740302918359808,0.8677502770594754,0.8662726265238271
7,0.967861100849649,0.9530845954931658,0.9468045807166605,0.9231621721462874,0.8973032877724418
8,0.949390469154045,0.8980421130402659,0.8969338751385297,0.8965644625046176,0.8847432582194311
9,0.981159955670484,0.9708164019209456,0.9512375323236054,0.9460657554488363,0.9412633912079793
10,0.9431104543775397,0.9427410417436276,0.9080162541558922,0.898411525674178,0.8917620982637606
11,0.8899150350942002,0.8884373845585519,0.8814185445142224,0.8799408939785741,0.8773550055411895
12,0.9545622460288142,0.9423716291097155,0.9368304396010344,0.9320280753601773,0.9283339490210565
13,0.9549316586627262,0.9224233468784633,0.9205762837089029,0.8947173993350572,0.8910232729959364
14,0.9571481344661987,0.9320280753601773,0.9320280753601773,0.8980421130402659,0.8899150350942002
15,0.8995197635759143,0.8943479867011451,0.8943479867011451,0.8932397487994089,0.889176209826376
16,0.9442186922792759,0.9412633912079793,0.9250092353158478,0.9216845216106391,0.8998891762098263
17,0.9534540081270779,0.9486516438862209,0.9456963428149243,0.9456963428149243,0.9390469154045068
18,0.8947173993350572,0.8902844477281123,0.884373845585519,0.8836350203176949,0.8832656076837828
19,0.9154045068341338,0.907277428888068,0.8991503509420022,0.8961950498707055,0.8950868119689693
20,0.9874399704469893,0.9287033616549686,0.8998891762098263,0.8995197635759143,0.8991503509420022
