epoch,best,second best,third best,fourth best,fifth best
0,0.6003339827442249,0.5953242415808516,0.5574728639020318,0.5524631227386585,0.5491232952964097
1,0.5839131644865015,0.5699972168104648,0.5555246312273866,0.5413303645978291,0.5407737266907876
2,0.5744503200667965,0.5683273030893404,0.5672140272752575,0.5549679933203451,0.5507932090175341
3,0.5747286390203172,0.5641525187865294,0.5633175619259672,0.5622042861118842,0.5443918730865572
4,0.5563595880879488,0.5530197606457,0.5396604508767047,0.5396604508767047,0.5396604508767047
5,0.5997773448371834,0.5897578625104369,0.5808516559977734,0.570832173671027,0.5647091566935708
6,0.6136932925132201,0.556081269134428,0.5452268299471194,0.5430002783189535,0.5416086835513498
7,0.5577511828555525,0.5558029501809073,0.5455051489006402,0.5452268299471194,0.5396604508767047
8,0.5805733370442527,0.5519064848316171,0.5410520456443084,0.5404954077372669,0.5396604508767047
9,0.5683273030893404,0.5396604508767047,0.5396604508767047,0.5396604508767047,0.5396604508767047
10,0.5396604508767047,0.5396604508767047,0.5396604508767047,0.5396604508767047,0.5396604508767047
11,0.6064569997216811,0.588644586696354,0.5800166991372112,0.5661007514611746,0.5396604508767047
12,0.6153632062343446,0.592819370999165,0.580295018090732,0.570832173671027,0.5669357083217367
13,0.637907041469524,0.5914277762315614,0.580295018090732,0.5741720011132758,0.565544113554133
14,0.5917060951850821,0.5819649318118564,0.5794600612301698,0.5583078207625939,0.5516281658780963
15,0.57194544948511,0.5630392429724465,0.5569162259949902,0.5558029501809073,0.5530197606457
16,0.603395491232953,0.5663790704146953,0.5638741998330087,0.5544113554133037,0.5455051489006402
17,0.5816866128583357,0.5591427776231561,0.5521848037851378,0.5463401057612023,0.5427219593654328
18,0.584469802393543,0.5730587252991929,0.566657389368216,0.5644308377400501,0.5633175619259672
19,0.6047870860005566,0.6047870860005566,0.5950459226273309,0.5839131644865015,0.5741720011132758
20,0.575006957973838,0.5683273030893404,0.5527414416921792,0.548844976342889,0.5457834678541609
21,0.6326189813526301,0.5897578625104369,0.5635958808794879,0.5585861397161147,0.5396604508767047
22,0.6487614806568327,0.6192596715836348,0.5947676036738102,0.5872529919287504,0.5647091566935708
23,0.5758419148344002,0.5691622599499025,0.5622042861118842,0.5588644586696354,0.5496799332034512
24,0.605343723907598,0.592819370999165,0.58335652657946,0.5677706651822989,0.5641525187865294
25,0.588644586696354,0.5552463122738659,0.5460617868076816,0.5396604508767047,0.5396604508767047
26,0.6546061786807682,0.5925410520456443,0.5677706651822989,0.5552463122738659,0.5410520456443084
27,0.5972724742554968,0.5944892847202895,0.5725020873921514,0.5635958808794879,0.5396604508767047
28,0.6042304480935151,0.5711104926245477,0.570832173671027,0.5549679933203451,0.5452268299471194
29,0.5452268299471194,0.5416086835513498,0.5410520456443084,0.5396604508767047,0.5396604508767047
30,0.5677706651822989,0.5674923462287782,0.557194544948511,0.5532980795992207,0.5532980795992207
31,0.6042304480935151,0.5839131644865015,0.5694405789034234,0.5630392429724465,0.5577511828555525
32,0.5958808794878931,0.5736153632062343,0.5691622599499025,0.5438352351795157,0.5413303645978291
33,0.5680489841358196,0.5566379070414695,0.5524631227386585,0.5441135541330364,0.5418870025048705
34,0.5883662677428333,0.5878096298357918,0.5811299749512941,0.5777901475090453,0.554133036459783
35,0.6128583356526579,0.5947676036738102,0.5402170887837462,0.5396604508767047,0.5396604508767047
36,0.5758419148344002,0.5680489841358196,0.5669357083217367,0.5591427776231561,0.5563595880879488
37,0.598107431116059,0.570832173671027,0.5535763985527414,0.5396604508767047,0.5396604508767047
38,0.6022822154188701,0.5758419148344002,0.5738936821597551,0.5672140272752575,0.5404954077372669
39,0.5569162259949902,0.5558029501809073,0.5519064848316171,0.5396604508767047,0.5396604508767047
40,0.6045087670470359,0.5686056220428611,0.5663790704146953,0.5638741998330087,0.5546896743668244
41,0.5808516559977734,0.5769551906484831,0.565544113554133,0.5524631227386585,0.5521848037851378
42,0.6047870860005566,0.5864180350681881,0.580295018090732,0.5644308377400501,0.5635958808794879
43,0.5830782076259393,0.5805733370442527,0.5680489841358196,0.5396604508767047,0.5396604508767047
44,0.5661007514611746,0.5485666573893682,0.547731700528806,0.5468967436682438,0.5457834678541609
45,0.5953242415808516,0.5822432507653771,0.5738936821597551,0.5722237684386307,0.5485666573893682
46,0.5930976899526857,0.5841914834400223,0.5725020873921514,0.5683273030893404,0.5591427776231561
47,0.5446701920400779,0.5413303645978291,0.5396604508767047,0.5396604508767047,0.5396604508767047
48,0.6161981630949067,0.5697188978569441,0.5460617868076816,0.5396604508767047,0.5396604508767047
49,0.6729752296131366,0.5858613971611467,0.5702755357639855,0.5669357083217367,0.5544113554133037
50,0.6150848872808238,0.5766768716949624,0.5605343723907598,0.5538547175062621,0.5502365711104926
51,0.5892012246033955,0.5880879487893126,0.5827998886724186,0.5566379070414695,0.548844976342889
52,0.6276092401892569,0.5947676036738102,0.592819370999165,0.5822432507653771,0.5680489841358196
53,0.6187030336765934,0.5763985527414417,0.5588644586696354,0.5566379070414695,0.5413303645978291
54,0.5969941553019761,0.5917060951850821,0.5585861397161147,0.5583078207625939,0.5396604508767047
55,0.5986640690231004,0.5894795435569162,0.5791817422766491,0.5683273030893404,0.5661007514611746
56,0.5903145004174785,0.5864180350681881,0.5855830782076259,0.5853047592541052,0.575006957973838
57,0.7528527692735876,0.5688839409963818,0.5627609240189256,0.5585861397161147,0.5569162259949902
58,0.666295574728639,0.6011689396047871,0.5775118285555246,0.5694405789034234,0.565544113554133
59,0.6637907041469524,0.6548844976342889,0.5839131644865015,0.5552463122738659,0.5521848037851378
60,0.7369885889229056,0.6050654049540773,0.581408293904815,0.5741720011132758,0.5741720011132758
61,0.6131366546061787,0.6047870860005566,0.598107431116059,0.5736153632062343,0.57194544948511
62,0.6056220428611189,0.5880879487893126,0.575006957973838,0.5605343723907598,0.5583078207625939
63,0.6097968271639299,0.5791817422766491,0.5716671305315892,0.5716671305315892,0.565544113554133
64,0.6067353186752018,0.6008906206512663,0.5872529919287504,0.5847481213470638,0.5663790704146953
65,0.5900361814639576,0.5635958808794879,0.5630392429724465,0.5491232952964097,0.5457834678541609
66,0.5744503200667965,0.5725020873921514,0.5713888115780684,0.5702755357639855,0.5688839409963818
67,0.5755635958808795,0.5566379070414695,0.5485666573893682,0.5418870025048705,0.5396604508767047
68,0.5964375173949346,0.5919844141386028,0.5839131644865015,0.5686056220428611,0.5672140272752575
69,0.6148065683273031,0.5942109657667687,0.5866963540217088,0.5744503200667965,0.5563595880879488
70,0.5763985527414417,0.5686056220428611,0.5661007514611746,0.5463401057612023,0.5432785972724743
71,0.5905928193709992,0.5786251043696076,0.5683273030893404,0.5672140272752575,0.5610910102978013
