18440,nan,9,31
400,0.09643201542913264,-0.07000000000000739,9,32
3055,0.09643201542913264,0.03999999999999915,9,33
920,0.09643201542913264,0.0089999999999975,9,34
800,0.09643201542913264,-0.013000000000000967,9,35
600,-0.1103296097090033,0.019999999999997443,9,36
200,0.02757479663586932,0.028999999999999207,9,37
200,0.09641873278235977,-0.009999999999999433,9,38
2200,-0.06202191440974087,-0.0019999999999996024,9,39
3569,-0.034468495794851346,-0.006499999999999773,9,41
3500,-0.06208181002966366,0.01599999999999966,9,42
1400,0.0758202371105691,0.01899999999999835,9,43
1900,0.02756339581035835,-0.0019999999999996024,9,44
300,0.055096418732771414,-0.021499999999998923,9,45
1794,0.06882312456987111,-0.03900000000000006,9,46
1000,-0.06887052341599363,-0.020999999999997954,9,47
500,0.05506607929516279,-0.01599999999999966,9,48
1096,-0.013768415255411146,-0.0049999999999997165,9,49
600,-0.027544415369778297,0.005000000000001137,9,50
2450,-0.1517241379310337,0.02299999999999898,9,51
1500,0.02757859900716495,0.037000000000000456,9,52
2200,0.09643201542913264,0.01699999999999875,9,53
1300,-0.1379500620775397,0.015000000000000568,9,54
600,0.0,0.005000000000001137,9,55
1500,-0.13814062715843944,0.03599999999999994,9,56
200,0.02347839297304944,0.04660000000000082,9,57
1200,0.03175479773575914,0.020299999999997455,9,58
2693,0.05519525320821311,-1.4210854715202005e-15,9,59
400,-0.02760524499654385,-0.018300000000000694,10,0
5134,0.0,-0.010600000000000876,10,1
1550,-0.10362694300518527,0.013000000000000967,10,2
2500,-0.048382637544922016,0.03349999999999938,10,3
950,-0.020739716557207837,0.03599999999999994,10,4
1400,0.0034564999481493572,0.029500000000000172,10,6
3135,0.10013812154696837,-0.003750000000000853,10,7
552,0.19299696719051634,-0.047500000000000854,10,8
2900,-0.06897503103877965,-0.05424999999999898,10,9
2300,0.0068970273812120324,-0.04249999999999972,10,10
800,-0.15196518615735224,0.007500000000000284,10,11
1400,0.04832919083125737,0.034499999999999885,10,12
2600,0.08278145695364551,0.009499999999998466,10,13
400,-0.13124266077225785,0.0125,10,14
1500,0.04832919083125737,-0.003499999999999659,10,15
2400,-0.027624309392259693,0.009999999999999433,10,17
937,-0.04145364101147041,0.02049999999999983,10,18
5400,-0.027643400138231147,0.012000000000001877,10,19
800,0.04835255923189998,0.012000000000000455,10,20
1300,-0.020726820505735204,0.0045000000000001705,10,21
600,0.12420645873583937,-0.019999999999998866,10,22
500,0.020696791997241216,-0.03249999999999886,10,23
5630,-0.11741953308467157,-0.011499999999998067,10,24
1749,0.013812154696139662,0.0009999999999990906,10,25
800,0.07935686436875457,0.00799999999999841,10,26
500,-0.037967692944897415,0.0022499999999979537,10,27
709,-0.09673852957436069,0.0030000000000001137,10,28
2445,0.06905123601712079,0.007750000000001478,10,29
300,-0.09676527508984403,0.025499999999999547,10,30
2216,-0.1107113202324914,0.03599999999999994,10,31
900,0.06914672935969736,0.02499999999999858,10,32
3065,-0.12461921905289866,0.04099999999999966,10,33
4200,0.062270808828619253,0.019000000000001196,10,34
4400,-0.006919457514524567,0.0045000000000001705,10,35
1900,-0.04153398864737801,0.011999999999999034,10,37
3490,0.027681660899648474,-0.0025000000000005686,10,38
100,-0.027689325764912114,0.00799999999999983,10,39
600,0.0,0.006000000000000227,10,40
830,0.027681660899648474,-0.0019999999999996024,10,41
400,0.0,-0.0019999999999996024,10,42
4400,0.06915629322267933,-0.015999999999998238,10,43
500,-0.08305647840531877,-0.006999999999997897,10,44
500,-0.06926167059149073,0.013000000000000967,10,45
1700,-0.027712345850070697,0.026999999999999604,10,46
800,-0.0138580931263929,0.034999999999999434,10,47
300,-0.013860013860001252,0.020999999999997954,10,48
3400,0.05540933647318471,0.0019999999999996024,10,49
1305,0.0,-0.006999999999999318,10,50
2185,0.0,-0.009999999999999433,10,51
2100,-0.013854253255736913,-0.006000000000000227,10,52
1495,0.013852334118286336,0.0009999999999990906,10,53
200,-0.013854253255736913,0.001999999999998181,10,54
1100,0.055386319579052955,-0.006000000000000227,10,55
800,-0.04155700235489838,-0.004999999999998295,10,56
200,-0.05544005544004441,0.006999999999999318,10,57
1533,-0.04159733777038427,0.018999999999999774,10,58
2840,-0.027739251040236106,0.03100000000000023,10,59
1500,-0.03468609087754627,0.028000000000000115,11,0
3436,0.006936736958928208,0.01850000000000165,11,1
2000,0.006936255809107932,0.009000000000001762,11,2
1700,0.006935774726050302,0.0009999999999990906,11,3
100,0.013869625520098345,-0.005999999999998807,11,4
2600,-0.041626196753158234,0.0005000000000009664,11,5
700,-0.013877324451833062,0.006999999999999318,11,6
700,0.013875398917706266,0.008000000000001251,11,7
1000,-0.027758501040938268,0.009999999999999433,11,8
400,-0.027766208524220494,0.00899999999999892,11,9
1700,0.09015881822594872,-0.0030000000000001137,11,10
2321,0.09007760532150462,-0.022500000000000853,11,11
400,-0.013860013860001252,-0.03300000000000125,11,12
400,-0.0138619351261507,-0.02750000000000057,11,13
400,0.07618256111918084,-0.017999999999999263,11,14
859,0.0,-0.011499999999998067,11,15
1500,0.006925207756246071,-0.015499999999998694,11,16
1484,-0.04156851877511589,-0.006500000000001194,11,17
927,-0.048520135856375664,0.01449999999999676,11,18
1250,-0.04160599126274341,0.024499999999997614,11,19
600,-0.034683684794680474,0.030500000000000683,11,20
1400,-0.04163775156141726,0.029500000000001594,11,21
901,0.04162042175360868,0.016500000000002048,11,22
1250,0.020805881129066606,0.002000000000001023,11,23
200,-0.006797049802944,-0.006520000000001858,11,24
947,0.027596727222289143,-0.013010000000001298,11,25
600,0.0,-0.007500000000000284,11,26
300,0.006933370311302022,-0.005989999999998475,11,27
300,0.006932889628410515,-0.006479999999999109,11,28
727,0.0277238702522817,-0.007000000000000739,11,29
600,-0.013863856925003628,-0.006499999999999773,11,30
1929,0.0277200277200419,-0.008000000000001251,11,31
700,-0.0138619351261507,-0.0049999999999997165,11,32
875,-0.013863856925003628,0.0010000000000005115,11,33
800,0.020791461639754063,-0.0009999999999990906,11,34
5400,-0.16660881638318684,0.024500000000000455,11,35
5123,-0.0625173659349843,0.042499999999998296,11,36
2100,-0.013894678338203579,0.04849999999999852,11,37
2177,-0.09735744089011568,0.05449999999999875,11,38
1600,0.02780867630700225,0.029000000000000626,11,39
1900,0.04169562195969581,0.010999999999999944,11,40
2336,-0.013900472616076059,0.0010000000000005115,11,41
3772,-0.013902405116072438,-0.00799999999999983,11,42
7970,-0.08348406845693929,0.011999999999999034,11,43
800,0.0,0.02299999999999898,11,44
5631,-0.08355382258738653,0.03199999999999932,11,45
4100,0.055671537926224146,0.02200000000000273,11,46
9787,0.013915947676043858,0.004000000000002046,11,47
1900,0.11120378092854921,-0.01899999999999835,11,48
1732,0.06945409084594688,-0.04499999999999887,11,49
900,-0.09733036707451777,-0.027000000000001023,11,50
900,-0.04173042147725851,-0.0040000000000006255,11,51
5637,0.02419778771029821,0.016519999999999868,11,52
3008,-0.031160881964235134,0.022259999999998573,11,53
2249,0.07575810229427536,-0.0033999999999991815,11,54
1600,-0.04102350159921951,-0.007209999999999184,11,56
800,0.013904338153511005,-0.00502000000000038,11,57
300,-0.0834956860562236,0.006950000000000501,11,58
1700,0.02782415136337788,0.016899999999999693,11,59
2231,-0.06960879855213303,0.020000000000000285,12,0
3792,-0.027851274195788915,0.025,12,1
600,0.027843519420849255,0.012999999999999547,12,2
16101,-0.013923698134231575,0.012000000000000455,12,3
8587,0.055663790704155655,-0.006999999999999318,12,4
1800,0.09731683581260583,-0.027000000000001023,12,5
400,0.05557871335277483,-0.03900000000000148,12,6
3204,-0.0695216907675155,-0.03100000000000165,12,7
9302,-0.01390627172855669,-0.00899999999999892,12,8
2828,-0.04173622704507671,0.016000000000002502,12,9
2600,0.027816411682907133,0.017999999999999263,12,10
1600,0.02780867630700225,0.0009999999999990906,12,11
500,0.05558643690938306,-0.014000000000000058,12,12
5801,0.05555555555556424,-0.029999999999999718,12,13
5900,0.013886960144431488,-0.029999999999999718,12,14
4160,-0.013888888888895994,-0.021000000000000796,12,15
2000,0.1386962552011017,-0.028000000000000115,12,16
400,-0.041626196753158234,-0.022999999999997557,12,17
1645,0.062400332801777314,-0.027999999999997274,12,18
3217,-0.020804438280167224,-0.021499999999998923,12,19
