timestamp,open,high,low,close,volume
2018-02-02,128.3500,128.8400,125.9700,126.6400,1896274
2018-02-01,127.2500,130.6400,127.2500,129.1100,2169742
2018-01-31,129.1700,129.6200,127.0700,128.0100,1319058
2018-01-30,130.0000,130.3400,127.9800,128.8900,1304912
2018-01-29,131.6000,131.7500,129.3794,130.4000,1273304
2018-01-26,131.9000,132.3000,130.8600,131.7600,1518025
2018-01-25,131.7600,132.2300,130.4500,131.1100,1361657
2018-01-24,130.3700,131.7000,129.4400,130.4300,1646524
2018-01-23,128.1900,129.0700,127.5600,128.9300,1462907
2018-01-22,126.5200,128.2538,125.3900,128.1900,1483206
2018-01-19,127.4300,128.1600,124.6000,126.2700,2282067
2018-01-18,130.3100,130.4150,126.7500,126.8900,2775099
2018-01-17,131.8200,131.8200,129.2500,130.6400,1598973
2018-01-16,132.8200,133.6800,129.9001,130.6000,3143369
2018-01-12,130.3400,132.7890,128.8700,132.3600,2186528
2018-01-11,130.0100,131.2300,128.3400,129.4100,2470408
2018-01-10,128.1300,128.1300,126.3800,127.1800,1210756
2018-01-09,128.4300,128.8800,127.0800,127.2800,1272790
2018-01-08,126.5600,128.2800,126.1000,128.2100,1752588
2018-01-05,126.4700,127.3500,125.4100,127.1200,1600127
2018-01-04,125.9200,126.6500,123.9400,126.1400,2212688
2018-01-03,124.4800,127.7500,124.3000,125.1700,2429515
2018-01-02,120.6400,122.6700,120.0100,121.4200,1541144
2017-12-29,120.8900,121.3900,119.1900,119.7700,1112752
2017-12-28,120.2100,121.3900,120.0100,121.2500,756547
2017-12-27,119.3800,120.7400,119.1300,120.3200,926026
2017-12-26,120.2500,120.6200,118.9900,119.4400,713449
2017-12-22,120.0000,121.7300,119.5300,120.1800,1064295
2017-12-21,120.1900,121.6300,119.6100,120.0700,1362494
2017-12-20,121.8600,121.9100,119.9000,120.0100,1126177
2017-12-19,122.4000,123.3400,121.3500,121.4600,1290080
2017-12-18,122.1100,122.7600,121.2200,121.9600,1582021
2017-12-15,120.6400,121.2200,120.2000,120.8800,1914000
2017-12-14,118.6500,120.5900,118.6500,119.9000,1775572
2017-12-13,119.0100,119.7200,118.2200,118.5500,1976070
2017-12-12,118.0700,118.8800,117.6000,118.6900,1977681
2017-12-11,117.4700,119.8800,117.4300,117.8300,2633776
2017-12-08,119.8900,120.7000,117.4200,117.5400,2861892
2017-12-07,116.9900,119.5000,116.7600,119.2100,4222916
2017-12-06,120.7700,121.0000,118.8300,119.1700,2721985
2017-12-05,121.8200,122.9100,120.5100,120.7700,1932565
2017-12-04,123.6100,125.4500,122.2000,122.2400,2045865
2017-12-01,121.6500,123.6300,121.2800,122.7000,1761098
2017-11-30,121.5700,123.5350,121.5700,122.5000,2035123
2017-11-29,125.8600,126.7000,120.8800,122.0200,2830025
2017-11-28,127.0000,127.0000,124.6500,125.6800,1201546
2017-11-27,126.9500,128.4300,126.6400,126.6800,1445114
2017-11-24,127.0700,127.8100,126.3500,126.8100,638095
2017-11-22,125.0800,127.9900,124.4800,126.9800,2081286
2017-11-21,123.9900,125.7500,122.5400,124.8800,2574414
2017-11-20,124.3000,124.8700,122.1400,123.4900,2041939
2017-11-17,121.8400,124.2000,121.7600,123.9500,2489291
2017-11-16,120.9500,122.5900,120.5000,122.0400,3385973
2017-11-15,121.8900,121.8900,119.9800,121.1700,2273753
2017-11-14,119.9700,122.4500,119.2200,122.0900,2456535
2017-11-13,120.6900,120.8900,118.9000,120.2800,3442218
2017-11-10,116.3400,121.1500,115.5500,120.7400,3808080
2017-11-09,118.0000,118.4800,116.1400,117.3200,3174133
2017-11-08,120.2400,120.7800,117.2600,118.5600,3063594
2017-11-07,120.0000,121.1300,118.9100,119.6100,6263438
2017-11-06,122.9000,123.9000,122.4000,122.9800,1922543
2017-11-03,123.2400,124.1000,122.5200,123.0500,1474257
2017-11-02,122.7400,123.9200,121.5600,123.5100,2388711
2017-11-01,125.8800,127.0000,121.9200,122.0500,3496379
2017-10-31,120.8800,125.1000,120.4600,124.6600,6872493
2017-10-30,124.7900,124.8900,119.7600,120.2100,7366275
2017-10-27,123.1000,124.5000,118.0000,123.7900,20574039
2017-10-26,148.1700,148.4800,145.0500,147.3500,4144975
2017-10-25,148.5000,150.1300,147.4600,147.9000,3235476
2017-10-24,150.8000,151.4700,149.9500,150.7300,2039476
2017-10-23,153.4700,153.6900,150.5600,150.6800,1877461
2017-10-20,154.0000,154.2400,152.2800,152.8000,1651527
2017-10-19,151.4700,153.4600,149.3600,153.4000,1561899
2017-10-18,149.8900,152.9500,149.7500,152.2800,2005894
2017-10-17,148.9500,149.8200,148.2300,149.1400,688965
2017-10-16,150.3400,150.5400,148.0000,148.4900,1639088
2017-10-13,148.9800,151.3300,148.7300,150.1100,1762959
2017-10-12,147.1000,148.0700,145.8500,147.9800,1379988
2017-10-11,146.0300,147.3900,145.4400,147.1700,1825061
2017-10-10,146.6100,148.4600,145.4200,146.4300,1196910
2017-10-09,148.0600,149.6100,146.1000,146.4600,1804752
2017-10-06,147.6600,148.9000,147.3300,147.9900,1234871
2017-10-05,147.6700,149.5500,147.3300,148.4100,1053369
